"","rnames","variable","value","rank"
"1","1","V5232",4094.05,1
"2","1","V5380",4238.4,2
"3","1","V636",5885.36,3
"4","1","V5230",6092.86,4
"5","1","V5234",6180.72,5
"6","1","V9390",6698.93,6
"7","1","V8954",6955.35,7
"8","1","V7616",7101.9,8
"9","1","V631",7644.18,9
"10","1","V8040",7694.67,10
"11","10","V4376",406.98,1
"12","10","V14",715.94,2
"13","10","V11",1093.16,3
"14","10","V9",1478.85,4
"15","10","V4372",1637.84,5
"16","10","V4375",1801.07,6
"17","10","V15",2043.14,7
"18","10","V1808",2356.02,8
"19","10","V10208",2569.16,9
"20","10","V12",2654.36,10
"21","100","V4441",2696.73,1
"22","100","V97",3759.9,2
"23","100","V4440",3894.18,3
"24","100","V1446",4006.7,4
"25","100","V4443",4376.65,5
"26","100","V2413",4694.48,6
"27","100","V104",5086.43,7
"28","100","V364",5112.45,8
"29","100","V1215",5727.98,9
"30","100","V4444",5802.08,10
"31","1000","V5761",1066.5,1
"32","1000","V5751",1717.97,2
"33","1000","V5753",2144.99,3
"34","1000","V5759",2258.67,4
"35","1000","V1010",3876.71,5
"36","1000","V6603",3992.34,6
"37","1000","V6606",4818.62,7
"38","1000","V5233",5112.17,8
"39","1000","V1640",5278.61,9
"40","1000","V5229",5420.12,10
"41","10000","V4169",2347.98,1
"42","10000","V4161",2737.65,2
"43","10000","V9996",2948.29,3
"44","10000","V10007",4061,4
"45","10000","V9998",4130.91,5
"46","10000","V10001",4146.79,6
"47","10000","V4163",4306.51,7
"48","10000","V5487",4432.94,8
"49","10000","V9997",5553.33,9
"50","10000","V4165",6045.19,10
"51","10001","V9998",1722.11,1
"52","10001","V4169",2305.39,2
"53","10001","V10002",3369.67,3
"54","10001","V10522",3431.62,4
"55","10001","V10000",4146.79,5
"56","10001","V10007",4266.94,6
"57","10001","V10523",4387.19,7
"58","10001","V9997",4601.29,8
"59","10001","V9994",4669.36,9
"60","10001","V5487",5231.43,10
"61","10002","V10523",1445.25,1
